TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.04,16.8,419.1,8.59E+11,20.0,7.89,7.68,170,166,0.288,0.124,0.407,1.104,0.011,0.016,2.71,1.45,539.5,452.6
0.02,17.6,880.4,4.09E+11,105.8,7.68,7.64,176,156,0.683,0.172,0.536,1.314,0.012,0.012,2.24,0.91,542.1,536.0
0.03,16.9,564.8,6.37E+11,210.5,7.48,7.59,272,166,0.412,0.101,0.409,1.615,0.010,0.010,2.45,0.62,306.0,705.4
0.04,17.4,434.2,8.29E+11,315.7,7.64,7.56,174,164,0.309,0.101,0.780,1.576,0.012,0.012,1.54,0.76,367.4,334.1
0.06,18.1,301.5,1.19E+12,422.0,7.9,7.51,160,164,0.764,0.065,0.745,0.356,0.010,0.018,1.34,5.05,981.0,497.8
0.04,17.8,446.2,8.07E+11,528.2,7.92,7.45,154,172,0.972,0.068,0.511,0.993,0.011,0.013,2.15,1.31,375.3,17.2
0.04,18.0,450.8,7.99E+11,637.4,7.81,7.54,164,152,0.430,0.110,0.440,0.942,0.013,0.010,2.96,1.06,370.1,887.5
0.05,18.8,375.1,9.60E+11,748.6,7.69,7.37,163,162,0.545,0.062,0.912,1.347,0.014,0.010,1.54,0.74,345.5,210.8
0.04,18.2,453.8,7.93E+11,858.5,7.68,7.44,148,158,0.340,0.058,0.717,1.126,0.010,0.011,1.39,0.98,428.0,243.7
0.05,17.7,354.6,1.02E+12,964.4,7.71,7.58,172,164,0.157,0.071,0.386,0.461,0.012,0.016,3.11,3.47,339.4,570.2
0.04,18.6,465.8,7.73E+11,1075.1,7.45,7.47,162,162,0.481,0.120,0.136,0.382,0.014,0.014,1.05,3.67,299.5,181.8
0.04,19.0,474.9,7.58E+11,1185.8,7.61,7.43,170,174,0.274,0.120,0.213,0.101,0.012,0.013,5.64,12.86,224.7,221.3
0.04,18.9,473.4,7.61E+11,1298.2,7.68,7.62,166,180,0.313,0.124,1.809,1.612,0.023,0.022,1.27,1.36,354.3,272.7
0.04,17.6,440.2,8.18E+11,1406.8,7.34,7.45,180,174,0.226,0.106,0.487,0.414,0.016,0.017,3.29,4.11,288.4,213.4
0.02,18.0,901.5,3.99E+11,1517.3,7.68,7.44,198,178,0.256,0.102,0.695,0.485,0.017,0.013,2.45,2.68,281.9,218.7
0.04,18.7,467.3,7.70E+11,1627.4,7.47,7.36,142,168,0.169,0.059,0.659,0.851,0.015,0.016,2.28,1.88,318.7,143.6
0.04,18.8,468.8,7.68E+11,1737.8,7.76,7.47,246,210,0.200,0.085,0.802,0.687,0.019,0.021,2.37,3.06,277.9,193.7
