TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.14,41.7,298.1,1.21E+12,22.0,7.89,7.71,170,156,0.288,0.14,0.407,1.479,0.011,0.017,2.71,1.15,539.5,329.7
0.06,37.9,631.8,5.70E+11,104.3,7.68,7.65,176,166,0.683,0.414,0.536,1.631,0.012,0.018,2.24,1.1,542.1,347.3
0.09,38.5,427.3,8.43E+11,205.8,7.48,7.61,272,176,0.412,0.098,0.409,0.31,0.01,0.011,2.45,3.55,306,151.6
0.11,40.1,364.5,9.88E+11,314.7,7.64,7.57,174,158,0.309,0.097,0.78,1.159,0.012,0.011,1.54,0.95,367.4,346.4
0.11,42.3,384.3,9.37E+11,425.4,7.9,7.45,160,166,0.764,0.08,0.745,0.422,0.01,0.015,1.34,3.55,981,123.9
0.1,42.4,424.1,8.49E+11,536.4,7.92,7.49,154,162,0.972,0.069,0.511,0.739,0.011,0.011,2.15,1.49,375.3,374
0.1,42.3,422.7,8.52E+11,647.6,7.81,7.51,164,154,0.43,0.065,0.44,1.563,0.013,0.01,2.96,0.64,370.1,787.4
0.1,41.6,415.9,8.66E+11,757.3,7.69,7.34,163,166,0.545,0.07,0.912,1.163,0.014,0.011,1.54,0.95,345.5,116
0.06,40.5,675.0,5.33E+11,865.2,7.68,7.43,148,158,0.34,0.082,0.717,0.723,0.01,0.017,1.39,2.35,428,315.7
0.09,39.7,440.9,8.16E+11,969.8,7.71,7.58,172,176,0.157,0.086,0.386,0.562,0.012,0.014,3.11,2.49,339.4,380.6
0.1,39.1,391.4,9.20E+11,1078.5,7.45,7.5,162,166,0.481,0.158,0.136,0.438,0.014,0.015,1.05,3.42,299.5,704.5
0.07,39.7,566.9,6.35E+11,1185.0,7.61,7.46,170,150,0.274,0.09,0.213,0.207,0.012,0.015,5.64,7.24,224.7,375.3
0.08,43.4,542.0,6.64E+11,1297.3,7.68,7.74,166,160,0.313,0.123,1.809,0.616,0.023,0.016,1.27,2.6,354.3,264.7
0.07,42.8,611.7,5.89E+11,1409.0,7.34,7.45,180,180,0.226,0.115,0.487,0.62,0.016,0.017,3.29,2.74,288.4,313.5
0.07,39.1,559.1,6.44E+11,1512.5,7.68,7.5,198,184,0.256,0.126,0.695,0.319,0.017,0.012,2.45,3.77,281.9,185.8
