TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.14,41.72727273,298.0519481,1.20784E+12,22.032,7.89,7.71,170,156,0.288,0.14,0.4066,1.479,0.011,0.017,2.705361535,1.149425287,539.4731464,329.70
0.06,37.90909091,631.8181818,5.69784E+11,104.328,7.68,7.65,176,166,0.683,0.414,0.536,1.631,0.012,0.018,2.23880597,1.103617413,542.1062926,347.25
0.09,38.45454545,427.2727273,8.42553E+11,205.776,7.48,7.61,272,176,0.412,0.098,0.4086,0.3101,0.01,0.011,2.447381302,3.547242825,306.0008481,151.65
0.11,40.09090909,364.4628099,9.87755E+11,314.712,7.64,7.57,174,158,0.309,0.097,0.7804,1.159,0.012,0.011,1.537672988,0.949094047,367.4409266,346.38
0.11,42.27272727,384.2975207,9.36774E+11,425.376,7.9,7.45,160,166,0.764,0.08,0.7454,0.4223,0.01,0.015,1.341561578,3.551977267,980.9639961,123.87
0.1,42.40909091,424.0909091,8.48875E+11,536.4,7.92,7.49,154,162,0.972,0.069,0.5114,0.7388,0.011,0.011,2.150958154,1.48890092,375.3403652,374.02
0.1,42.27272727,422.7272727,8.51613E+11,647.568,7.81,7.51,164,154,0.43,0.065,0.4396,1.563,0.013,0.01,2.957233849,0.639795266,370.0740728,787.43
0.1,41.59090909,415.9090909,8.65574E+11,757.296,7.69,7.34,163,166,0.545,0.07,0.9115,1.163,0.014,0.011,1.535929786,0.945829751,345.4980414,115.98
0.06,40.5,675,5.33333E+11,865.152,7.68,7.43,148,158,0.34,0.082,0.7173,0.7228,0.01,0.017,1.394116827,2.351964582,428.0032897,315.66
0.09,39.68181818,440.9090909,8.16495E+11,969.84,7.71,7.58,172,176,0.157,0.086,0.3856,0.5615,0.012,0.014,3.112033195,2.49332146,339.3540336,380.61
0.1,39.13636364,391.3636364,9.19861E+11,1078.488,7.45,7.5,162,166,0.481,0.158,0.1356,0.438,0.014,0.015,1.048218029,3.424657534,299.5057541,704.48
0.07,39.68181818,566.8831169,6.35052E+11,1185.048,7.61,7.46,170,150,0.274,0.09,0.2127,0.2072,0.012,0.015,5.641748942,7.239382239,224.7244014,375.34
0.08,43.36363636,542.0454545,6.64151E+11,1297.296,7.68,7.74,166,160,0.313,0.123,1.809,0.6164,0.023,0.016,1.271420674,2.595717067,354.2751955,264.75
