TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.02,28.24615385,1412.307692,2.54902E+11,22.032,7.89,7.69,170,162,0.288,0.129,0.4066,1.694,0.011,0.018,2.705361535,1.02,539.4731464,480.67
0.05,25.01538462,500.3076923,7.19557E+11,102.6,7.68,7.58,176,146,0.683,0.316,0.536,1.706,0.012,0.016,2.23880597,2.73,542.1062926,315.66
0.05,25.01538462,500.3076923,7.19557E+11,205.344,7.48,7.57,272,171,0.412,0.101,0.4086,0.335,0.01,0.012,2.447381302,1.65,306.0008481,243.02
0.08,28.15384615,351.9230769,1.02295E+12,311.04,7.64,7.58,174,158,0.309,0.098,0.7804,0.4022,0.012,0.01,1.537672988,1.10,367.4409266,275.28
0.07,27.41538462,391.6483516,9.19192E+11,417.96,7.9,7.47,160,170,0.764,0.077,0.7454,0.234,0.01,0.014,1.341561578,2.79,980.9639961,234.47
0.07,27.23076923,389.010989,9.25424E+11,527.256,7.92,7.44,154,166,0.972,0.063,0.5114,1.008,0.011,0.012,2.150958154,3.57,375.3403652,298.98
0.06,27.6,460,7.82609E+11,636.408,7.81,7.56,164,164,0.43,0.101,0.4396,1.985,0.013,0.009,2.957233849,1.56,370.0740728,503.05
0.07,28.8,411.4285714,8.75E+11,749.016,7.69,7.33,163,160,0.545,0.061,0.9115,2.217,0.014,0.01,1.535929786,1.89,345.4980414,110.71
0.05,28.06153846,561.2307692,6.41447E+11,858.096,7.68,7.4,148,156,0.34,0.102,0.7173,1.752,0.01,0.01,1.394116827,1.21,428.0032897,236.66
0.04,27.13846154,678.4615385,5.30612E+11,966.024,7.71,7.56,172,164,0.157,0.069,0.3856,1.117,0.012,0.016,3.112033195,0.58,339.3540336,529.82
0.04,27.41538462,685.3846154,5.25253E+11,1074.6,7.45,7.5,162,148,0.481,0.122,0.1356,0.552,0.014,0.015,1.048218029,1.75,299.5057541,406.94
