TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.04,16.7638191,419.0954774,8.58993E+11,20.016,7.89,7.68,170,166,0.288,0.124,0.4066,1.104,0.011,0.016,2.705361535,1.449275362,539.4731464,452.58
0.02,17.6080402,880.4020101,4.08904E+11,105.768,7.68,7.64,176,156,0.683,0.172,0.536,1.314,0.012,0.012,2.23880597,0.913242009,542.1062926,535.96
0.03,16.94472362,564.8241206,6.37367E+11,210.456,7.48,7.59,272,166,0.412,0.101,0.4086,1.615,0.01,0.01,2.447381302,0.619195046,306.0008481,705.36
0.04,17.36683417,434.1708543,8.29167E+11,315.72,7.64,7.56,174,164,0.309,0.101,0.7804,1.576,0.012,0.012,1.537672988,0.76142132,367.4409266,334.09
0.06,18.09045226,301.5075377,1.194E+12,421.992,7.9,7.51,160,164,0.764,0.065,0.7454,0.3563,0.01,0.018,1.341561578,5.051922537,980.9639961,497.78
0.04,17.84924623,446.2311558,8.06757E+11,528.192,7.92,7.45,154,172,0.972,0.068,0.5114,0.9928,0.011,0.013,2.150958154,1.309427881,375.3403652,17.23
0.04,18.03015075,450.7537688,7.98662E+11,637.416,7.81,7.54,164,152,0.43,0.11,0.4396,0.9419,0.013,0.01,2.957233849,1.061683831,370.0740728,887.49
0.05,18.75376884,375.0753769,9.59807E+11,748.584,7.69,7.37,163,162,0.545,0.062,0.9115,1.347,0.014,0.01,1.535929786,0.742390497,345.4980414,210.77
0.04,18.15075377,453.7688442,7.93355E+11,858.456,7.68,7.44,148,158,0.34,0.058,0.7173,1.126,0.01,0.011,1.394116827,0.976909414,428.0032897,243.68
0.05,17.72864322,354.5728643,1.01531E+12,964.368,7.71,7.58,172,164,0.157,0.071,0.3856,0.4611,0.012,0.016,3.112033195,3.469963132,339.3540336,570.19
0.04,18.63316583,465.8291457,7.72816E+11,1075.104,7.45,7.47,162,162,0.481,0.12,0.1356,0.3817,0.014,0.014,1.048218029,3.667801939,299.5057541,181.80
0.04,18.99497487,474.8743719,7.58095E+11,1185.84,7.61,7.43,170,174,0.274,0.12,0.2127,0.1011,0.012,0.013,5.641748942,12.85855589,224.7244014,221.30
0.04,18.93467337,473.3668342,7.6051E+11,1298.232,7.68,7.62,166,180,0.313,0.124,1.809,1.612,0.023,0.022,1.271420674,1.364764268,354.2751955,272.65
0.04,17.6080402,440.201005,8.17808E+11,1406.808,7.34,7.45,180,174,0.226,0.106,0.4868,0.4135,0.016,0.017,3.286770748,4.111245466,288.4465399,213.40
0.02,18.03015075,901.5075377,3.99331E+11,1517.256,7.68,7.44,198,178,0.256,0.102,0.6946,0.4849,0.017,0.013,2.447451771,2.680965147,281.8636744,218.67
0.04,18.69346734,467.3366834,7.70323E+11,1627.416,7.47,7.36,142,168,0.169,0.059,0.659,0.8514,0.015,0.016,2.276176024,1.879257693,318.7277215,143.62
0.04,18.75376884,468.8442211,7.67846E+11,1737.792,7.76,7.47,246,210,0.2,0.085,0.8017,0.6869,0.019,0.021,2.369963827,3.057213568,277.9139551,193.65
0.05,18.57286432,371.4572864,9.69156E+11,1847.88,7.71,7.64,222,202,0.241,0.114,0.663,0.5706,0.017,0.016,2.564102564,2.804065896,284.4968206,159.42
0.06,18.75376884,312.5628141,1.15177E+12,1956.528,7.53,7.59,148,0.11,0.256,0.11,0.3287,0.2088,0.015,0.012,4.563431701,5.747126437,202.8692878,204.19
0.05,18.33165829,366.6331658,9.81908E+11,2067.984,7.45,7.28,184,172,0.266,0.1,0.4656,0.4997,0.012,0.016,2.577319588,3.201921153,77.79484225,256.85
0.04,18.27135678,456.7839196,7.88119E+11,2177.856,7.54,7.4,138,144,0.186,0.094,0.4079,0.7099,0.014,0.013,3.432213778,1.831243837,204.1858609,181.80
0.04,18.27135678,456.7839196,7.88119E+11,2288.232,7.45,7.3,152,134,0.208,0.096,1.112,1.15,0.012,0.017,1.079136691,1.47826087,372.707219,143.62
0.04,18.09045226,452.2613065,7.96E+11,2397.528,7.54,7.41,174,158,0.193,0.067,1.03,1.575,0.016,0.014,1.553398058,0.888888889,329.2603064,183.12
0.04,18.63316583,465.8291457,7.72816E+11,2509.128,7.5,7.35,180,178,0.178,0.07,1.165,1.457,0.023,0.016,1.974248927,1.098146877,305.5619904,238.42
0.04,18.09045226,452.2613065,7.96E+11,2619.36,7.37,7.23,192,184,0.294,0.065,0.9023,1.063,0.015,0.019,1.662418264,1.787394167,275.2808088,264.75
0.04,18.3919598,459.798995,7.82951E+11,2729.376,7.62,7.37,178,174,0.343,0.092,1.104,1.061,0.012,0.01,1.086956522,0.942507069,177.8543987,176.10
0.04,19.11557789,477.8894472,7.53312E+11,2839.896,7.74,7.42,172,190,0.414,0.09,1.199,1.364,0.011,0.011,0.917431193,0.806451613,259.4819315,205.50
0.04,18.45226131,461.3065327,7.80392E+11,2952.216,7.25,7.41,210,196,0.171,0.075,1.2395,1.289,0.011,0.01,0.887454619,0.77579519,342.4260375,241.05
0.04,18.63316583,465.8291457,7.72816E+11,3064.392,7.26,7.41,164,186,0.267,0.064,1.28,1.214,0.014,0.014,1.09375,1.153212521,331.8934526,148.51
0.04,17.78894472,444.7236181,8.09492E+11,3173.76,7.73,7.32,162,194,0.244,0.09,1.09,1.458,0.008,0.007,0.733944954,0.480109739,248.9493466,347.69
0.04,18.21105528,455.2763819,7.90728E+11,3283.056,7.5,7.32,212,194,0.219,0.083,1.286,0.9849,0.012,0.012,0.933125972,1.218397807,196.2864222,408.25
0.05,18.57286432,371.4572864,9.69156E+11,3394.008,6.84,7.23,170,184,0.31,0.101,1.077,1.4,0.011,0.008,1.021355617,0.571428571,194.9698491,121.24
0.04,19.05527638,476.3819095,7.55696E+11,3504.672,7.65,7.17,184,188,0.82,0.07,1.56,1.903,0.016,0.014,1.025641026,0.735680504,193.653276,252.90
0.04,17.90954774,447.7386935,8.0404E+11,3613.104,7.27,7.18,146,164,0.19,0.079,1.229,1.089,0.012,0.014,0.97640358,1.285583104,100.1765851,188.39
0.05,18.15075377,363.0150754,9.91694E+11,3723.048,7.22,7.12,164,170,0.207,0.109,1.207,1.089,0.015,0.011,1.242750621,1.01010101,117.2920356,233.15
0.04,18.03015075,450.7537688,7.98662E+11,3832.92,7.14,7.1,170,158,0.637,0.07,1.23,1.332,0.01,0.008,0.81300813,0.600600601,281.8636744,158.11
0.05,18.57286432,371.4572864,9.69156E+11,3940.92,6.96,7.17,168,172,0.2,0.076,0.4197,0.3978,0.009,0.013,2.144388849,3.267973856,949.3662415,242.37
0.05,19.2361809,384.7236181,9.35737E+11,4052.376,7.16,7.05,198,198,0.168,0.072,0.6225,0.3149,0.012,0.012,1.927710843,3.810733566,248.9493466,90.96
0.05,18.33165829,366.6331658,9.81908E+11,4162.32,7.43,7.12,178,220,0.235,0.086,0.3628,0.5494,0.012,0.013,3.307607497,2.366217692,238.4167617,92.28
0.05,18.99497487,379.8994975,9.47619E+11,4270.536,7.18,6.82,132,136,0.229,0.07,0.9945,0.9577,0.011,0.012,1.106083459,1.253001984,597.8412209,90.96
0.05,19.11557789,382.3115578,9.4164E+11,4381.92,6.9,6.67,142,146,0.19,0.073,1.067,0.7943,0.016,0.012,1.499531396,1.510764195,248.9493466,34.35
0.06,18.81407035,313.5678392,1.14808E+12,4492.584,7.17,7.01,136,146,0.195,0.085,0.9516,1.092,0.013,0.015,1.366120219,1.373626374,234.4670424,72.53
0.07,18.69346734,267.0495334,1.34806E+12,4602.456,7.14,7.04,160,162,0.247,0.133,0.8479,0.8716,0.014,0.016,1.651138106,1.835704452,266.0647971,65.95
0.06,18.45226131,307.5376884,1.17059E+12,4711.392,7.24,7.15,146,142,0.143,0.085,1.427,0.8972,0.015,0.015,1.051156272,1.671868034,156.7892289,85.69
0.06,18.09045226,301.5075377,1.194E+12,4819.032,7.33,6.76,150,148,1.1,0.106,1.177,0.9596,0.013,0.015,1.104502974,1.563151313,292.3962593,135.72
0.06,17.78894472,296.4824121,1.21424E+12,4927.896,7.47,6.89,150,130,1.6,0.102,1.581,1.222,0.015,0.015,0.948766603,1.227495908,285.8133937,60.56
0.09,18.45226131,205.0251256,1.75588E+12,5036.616,6.92,6.67,126,146,0.205,0.078,1.201,0.9422,0.017,0.015,1.415487094,1.59201868,223.9344575,55.43
0.07,18.09045226,258.4350323,1.393E+12,5145.912,7.13,6.85,180,166,0.205,0.071,1.489,1.329,0.016,0.014,1.074546676,1.053423627,119.9251818,44.76
0.08,18.09045226,226.1306533,1.592E+12,5254.704,7.08,6.74,160,160,0.204,0.072,1.372,1.546,0.014,0.016,1.020408163,1.034928849,171.2715331,43.56
0.08,18.27135678,228.3919598,1.57624E+12,5364.432,7.24,6.87,136,150,0.221,0.066,1.217,0.9853,0.014,0.011,1.150369762,1.116411245,244.9996273,31.71
0.09,18.57286432,206.3651591,1.74448E+12,5474.088,7.12,6.89,158,146,0.229,0.116,1.689,1.138,0.012,0.011,0.710479574,0.966608084,433.2695821,23.82
0.1,17.90954774,179.0954774,2.0101E+12,5563.296,7.42,7.19,144,140,0.237,0.089,1.464,1.35,0.015,0.011,1.024590164,0.814814815,312.1448559,8.02
0.12,18.21105528,151.758794,2.37219E+12,5671.584,7.22,6.85,138,126,0.386,0.075,1.886,1.464,0.017,0.011,0.901378579,0.75136612,234.4670424,63.20
0.09,18.03015075,200.3350084,1.79699E+12,5780.52,7.43,6.76,158,144,0.404,0.69,1.404,1.25,0.013,0.013,0.925925926,1.04,383.2398039,27.77
0.09,18.27135678,203.0150754,1.77327E+12,5888.736,7.23,6.88,158,150,0.277,0.102,1.31,1.243,0.012,0.013,0.916030534,1.045856798,277.9139551,25.13
0.09,17.96984925,199.6649916,1.80302E+12,5996.664,7.1,6.88,166,152,0.275,0.146,1.376,1.337,0.012,0.014,0.872093023,1.047120419,363.4912073,58.05
0.1,18.27135678,182.7135678,1.9703E+12,6104.952,7.28,6.78,184,180,0.287,0.076,1.959,1.224,0.014,0.015,0.714650332,1.225490196,404.3049737,6.58
0.09,18.09045226,201.0050251,1.791E+12,6213.024,7.25,7.01,182,180,0.165,0.065,1.281,1.109,0.015,0.013,1.170960187,1.172227232,272.6476626,56.61
