TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.02,28.2,1412.3,2.55E+11,22.0,7.89,7.69,170,162,0.288,0.129,0.407,1.694,0.011,0.018,2.71,1.02,539.5,480.7
0.05,25.0,500.3,7.20E+11,102.6,7.68,7.58,176,146,0.683,0.316,0.536,1.706,0.012,0.016,2.24,2.73,542.1,315.7
0.05,25.0,500.3,7.20E+11,205.3,7.48,7.57,272,171,0.412,0.101,0.409,0.335,0.010,0.012,2.45,1.65,306.0,243.0
0.08,28.2,351.9,1.02E+12,311.0,7.64,7.58,174,158,0.309,0.098,0.780,0.402,0.012,0.010,1.54,1.10,367.4,275.3
0.07,27.4,391.6,9.19E+11,418.0,7.9,7.47,160,170,0.764,0.077,0.745,0.234,0.010,0.014,1.34,2.79,981.0,234.5
0.07,27.2,389.0,9.25E+11,527.3,7.92,7.44,154,166,0.972,0.063,0.511,1.008,0.011,0.012,2.15,3.57,375.3,299.0
0.06,27.6,460.0,7.83E+11,636.4,7.81,7.56,164,164,0.430,0.101,0.440,1.985,0.013,0.009,2.96,1.56,370.1,503.1
0.07,28.8,411.4,8.75E+11,749.0,7.69,7.33,163,160,0.545,0.061,0.912,2.217,0.014,0.010,1.54,1.89,345.5,110.7
0.05,28.1,561.2,6.41E+11,858.1,7.68,7.4,148,156,0.340,0.102,0.717,1.752,0.010,0.010,1.39,1.21,428.0,236.7
0.04,27.1,678.5,5.31E+11,966.0,7.71,7.56,172,164,0.157,0.069,0.386,1.117,0.012,0.016,3.11,0.58,339.4,529.8
0.04,27.4,685.4,5.25E+11,1074.6,7.45,7.5,162,148,0.481,0.122,0.136,0.552,0.014,0.015,1.05,1.75,299.5,406.9
0.05,28.2,564.9,6.37E+11,1183.3,7.61,7.42,170,180,0.274,0.111,0.213,0.188,0.012,0.013,5.64,0.97,224.7,256.9
